,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Lebanon,Lebanon,GPE,0.38461538,0.38461538,en,1.30000000,4035567-6,272103,A,33.83333000,35.83333000,EUROPE-AFRICA,Lebanon,MED
Ventura,Ventura,GPE,0.00000000,0.07692308,en,1.30000000,4218469-1,5405878,P,34.27834000,-119.29317000,NORTH-AMERICA,United States,WNA
Düsseldorf,Düsseldorf,GPE,0.26923077,0.53846154,en,1.30000000,4013255-9,2934246,P,51.22172000,6.77616000,EUROPE,Germany,WCE
the Center-South,the Center-South,LOC,0.00000000,0.00000000,en,1.30000000,,4174317,P,27.71809000,-82.35176000,NORTH-AMERICA,United States,ENA
Peru,Peru,GPE,0.17307692,0.48717949,en,1.30000000,4045312-1,3932488,A,-10.00000000,-75.25000000,SOUTH-AMERICA,Peru,NWS
Pacific Ocean,Pacific Ocean,LOC,0.09615385,0.12820513,en,1.30000000,,0,,,,,,
the Antarctic Peninsula,the Antarctic Peninsula,LOC,0.07692308,0.23461538,en,1.30000000,,0,,,,,,
Amsterdam,Amsterdam,GPE,0.00000000,0.00000000,en,1.30000000,4001783-7,2759794,P,52.37403000,4.88969000,EUROPE,The Netherlands,NEU
the Northern Hemisphere,the Northern Hemisphere,LOC,-0.19070513,0.88621795,en,1.30000000,,0,,,,,,
Netherlands,Netherlands,GPE,-0.15384615,0.15384615,en,1.30000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
FC Porto's,FC Porto's,GPE,0.00000000,0.00000000,en,1.30000000,,0,,,,,,
Guinea,Guinea,GPE,0.14743590,0.50641026,en,1.30000000,4022520-3,2420477,A,10.83333000,-10.66667000,AFRICA,Guinea,WAF
pumas,pumas,GPE,0.23076923,0.69230769,en,1.30000000,,12512142,L,-15.27753000,-67.10339000,SOUTH-AMERICA,Bolivia,SAM
Finland,Finland,GPE,1.03846154,0.73076923,en,1.30000000,4017243-0,660013,A,64.00000000,26.00000000,EUROPE,Finland,NEU
Israel,Israel,GPE,0.15384615,0.15384615,en,1.30000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
Greenland,Greenland,GPE,0.30769231,0.53846154,en,1.30000000,4022113-1,3425505,A,72.00000000,-40.00000000,POLAR,Greenland,GIC
Belgium,Belgium,GPE,0.00000000,0.00000000,en,1.30000000,4005406-8,2802361,A,50.75000000,4.50000000,EUROPE,Belgium,WCE
Amazonas,Amazonas,GPE,0.00000000,0.00000000,en,1.30000000,4001626-2,3689982,A,-1.16667000,-71.50000000,SOUTH-AMERICA,Colombia,NSA
Avenida Brasil',Avenida Brasil',GPE,-0.07692308,0.07692308,en,1.30000000,,3471278,P,-13.75000000,-39.53333000,SOUTH-AMERICA,Brazil,NES
Bahrain,Bahrain,GPE,0.10489510,0.34965035,en,1.30000000,4004268-6,290291,A,26.03333000,50.55000000,ASIA,Bahrain,ARP
West,West,LOC,-0.12820513,0.39743590,en,1.30000000,,11887751,L,42.77268000,-116.95790000,NORTH-AMERICA,United States,WNA
